segment_id,osm_way_id,road_name,highway_type,lanes,maxspeed_kmh,oneway,surface,lit,node_from_osm_id,lat_from,lon_from,node_to_osm_id,lat_to,lon_to,lat_center,lon_center,length_m,bearing_deg,has_signal_from,signal_from_osm_id,has_signal_to,signal_to_osm_id,is_way_entry,is_way_exit,segment_index_in_way,total_segments_in_way
28,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723965,6.4306905,3.4141704,10175281248,6.4306911,3.4137855,6.4306908,3.41397795,42.53,270.1,0,,0,,0,0,24,43
29,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,10175281248,6.4306911,3.4137855,1598718049,6.4306918,3.4133088,6.430691449999999,3.41354715,52.67,270.1,0,,0,,0,0,25,43
30,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,1598718049,6.4306918,3.4133088,2339926122,6.4306652,3.412767,6.4306785,3.4130379,59.94,267.2,0,,0,,0,0,26,43
31,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,2339926122,6.4306652,3.412767,5246332229,6.4306312,3.4125423,6.4306482,3.4126546500000003,25.11,261.3,0,,0,,0,0,27,43
32,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5246332229,6.4306312,3.4125423,35723967,6.4305912,3.412309,6.4306111999999995,3.4124256500000003,26.16,260.2,0,,0,,0,0,28,43
33,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723967,6.4305912,3.412309,5582731541,6.4305545,3.4121574,6.430572850000001,3.4122332,17.24,256.3,0,,0,,0,0,29,43
34,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5582731541,6.4305545,3.4121574,1598718046,6.4305106,3.4120099,6.430532550000001,3.41208365,17.01,253.3,0,,0,,0,0,30,43
35,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,1598718046,6.4305106,3.4120099,35723968,6.4303526,3.4115727,6.4304316,3.4117913,51.4,250.0,0,,0,,0,0,31,43
36,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723968,6.4303526,3.4115727,5582731542,6.4302332,3.4112488,6.4302928999999995,3.41141075,38.17,249.6,0,,0,,0,0,32,43
37,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5582731542,6.4302332,3.4112488,5246332226,6.4301521,3.4109967,6.43019265,3.41112275,29.28,252.1,0,,0,,0,0,33,43
38,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5246332226,6.4301521,3.4109967,35723970,6.4300919,3.4107575,6.430122,3.4108771,27.27,255.8,0,,0,,0,0,34,43
39,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723970,6.4300919,3.4107575,5582731543,6.4300449,3.4104892,6.4300684,3.41062335,30.1,260.0,0,,0,,0,0,35,43
40,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5582731543,6.4300449,3.4104892,1480437267,6.4300216,3.410257,6.43003325,3.4103731,25.79,264.2,0,,0,,0,0,36,43
41,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,1480437267,6.4300216,3.410257,7736149344,6.4300209,3.4102413,6.430021249999999,3.4102491500000003,1.74,267.4,0,,0,,0,0,37,43
42,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,7736149344,6.4300209,3.4102413,35723971,6.4300122,3.4100318,6.4300165499999995,3.41013655,23.17,267.6,0,,0,,0,0,38,43
43,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723971,6.4300122,3.4100318,1480437288,6.4300104,3.4097523,6.4300113,3.40989205,30.88,269.6,0,,0,,0,0,39,43
44,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,1480437288,6.4300104,3.4097523,7116217627,6.4300095,3.4093585,6.43000995,3.4095554000000003,43.51,269.9,0,,0,,0,0,40,43
45,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,7116217627,6.4300095,3.4093585,1480437222,6.4300156,3.4089,6.43001255,3.4091292500000003,50.67,270.8,0,,1,1480437222,0,0,41,43
46,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,1480437222,6.4300156,3.4089,5622523776,6.430015,3.4087987,6.4300153,3.40884935,11.19,269.7,1,1480437222,1,1480437222,0,1,42,43
47,5196508,Saka Tinubu Street,tertiary,2,50,no,asphalt,yes,36240967,6.4270816,3.4239759,95636908,6.4270814,3.4238935,6.4270815,3.4239347,9.1,269.9,1,36240967,1,36240967,1,0,0,11
48,5196508,Saka Tinubu Street,tertiary,2,50,no,asphalt,yes,95636908,6.4270814,3.4238935,10836366411,6.4270795,3.4231558,6.42708045,3.42352465,81.51,269.9,1,36240967,0,,0,0,1,11
49,5196508,Saka Tinubu Street,tertiary,2,50,no,asphalt,yes,10836366411,6.4270795,3.4231558,9882740712,6.427078,3.4225631,6.42707875,3.42285945,65.49,269.9,0,,0,,0,0,2,11
50,5196508,Saka Tinubu Street,tertiary,2,50,no,asphalt,yes,9882740712,6.427078,3.4225631,36240962,6.427077,3.4221782,6.427077499999999,3.42237065,42.53,269.9,0,,0,,0,0,3,11
51,5196508,Saka Tinubu Street,tertiary,2,50,no,asphalt,yes,36240962,6.427077,3.4221782,1235946208,6.4270748,3.4213218,6.4270759,3.42175,94.63,269.9,0,,0,,0,0,4,11
52,5196508,Saka Tinubu Street,tertiary,2,50,no,asphalt,yes,1235946208,6.4270748,3.4213218,10181976499,6.4270735,3.4208378,6.427074149999999,3.4210798000000002,53.48,269.8,0,,0,,0,0,5,11
53,5196508,Saka Tinubu Street,tertiary,2,50,no,asphalt,yes,10181976499,6.4270735,3.4208378,5673268464,6.4270712,3.4199417,6.4270723499999995,3.42038975,99.02,269.9,0,,0,,0,0,6,11
54,5196508,Saka Tinubu Street,tertiary,2,50,no,asphalt,yes,5673268464,6.4270712,3.4199417,1235946200,6.4270694,3.4192519,6.4270703000000005,3.4195968,76.22,269.8,0,,0,,0,0,7,11
55,5196508,Saka Tinubu Street,tertiary,2,50,no,asphalt,yes,1235946200,6.4270694,3.4192519,1598717989,6.4270679,3.4186524,6.42706865,3.41895215,66.24,269.9,0,,0,,0,0,8,11
56,5196508,Saka Tinubu Street,tertiary,2,50,no,asphalt,yes,1598717989,6.4270679,3.4186524,4742766612,6.4270644,3.4172952,6.42706615,3.4179738,149.97,269.9,0,,0,,0,0,9,11
57,5196508,Saka Tinubu Street,tertiary,2,50,no,asphalt,yes,4742766612,6.4270644,3.4172952,36240960,6.4270623,3.4164839,6.42706335,3.4168895499999996,89.65,269.9,0,,0,,0,1,10,11
58,8160805,Akin Adesola Street,primary,2,50,yes,asphalt,yes,31674712,6.4226451,3.4240005,168577454,6.4227308,3.4239971,6.42268795,3.4239987999999997,9.54,357.7,1,31674712,1,31674712,1,0,0,4
59,8160805,Akin Adesola Street,primary,2,50,yes,asphalt,yes,168577454,6.4227308,3.4239971,5582802497,6.4235933,3.4239914,6.42316205,3.42399425,95.91,359.6,1,31674712,0,,0,0,1,4
60,8160805,Akin Adesola Street,primary,2,50,yes,asphalt,yes,5582802497,6.4235933,3.4239914,36240966,6.4240904,3.42399,6.4238418500000005,3.4239907,55.28,359.8,0,,0,,0,0,2,4
61,8160805,Akin Adesola Street,primary,2,50,yes,asphalt,yes,36240966,6.4240904,3.42399,31674711,6.4248354,3.4240021,6.4244629,3.42399605,82.85,0.9,0,,0,,0,1,3,4
62,10740235,Akin Adesola Street,primary,2,50,yes,asphalt,yes,1472121865,6.4377083,3.4245364,5396714428,6.437314,3.4243635,6.43751115,3.42444995,47.83,203.5,0,,0,,1,0,0,3
63,10740235,Akin Adesola Street,primary,2,50,yes,asphalt,yes,5396714428,6.437314,3.4243635,1472121874,6.437082,3.4242831,6.437198,3.4243233,27.28,199.0,0,,0,,0,0,1,3
64,10740235,Akin Adesola Street,primary,2,50,yes,asphalt,yes,1472121874,6.437082,3.4242831,31700878,6.4365436,3.4241192,6.4368128,3.42420115,62.55,196.8,0,,0,,0,1,2,3
65,16369652,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,168585503,6.4226948,3.4273873,5396711911,6.4226862,3.4273642,6.4226905,3.42737575,2.73,249.5,0,,0,,1,0,0,7
66,16369652,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,5396711911,6.4226862,3.4273642,168583238,6.4226822,3.4273318,6.4226842,3.4273480000000003,3.61,262.9,0,,0,,0,0,1,7
67,16369652,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,168583238,6.4226822,3.4273318,168586633,6.4226801,3.4273032,6.42268115,3.4273175,3.17,265.8,0,,0,,0,0,2,7
68,16369652,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,168586633,6.4226801,3.4273032,1289576526,6.4227217,3.425889,6.422700900000001,3.4265961000000003,156.33,271.7,0,,0,,0,0,3,7
69,16369652,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,1289576526,6.4227217,3.425889,4707949578,6.4227478,3.4249505,6.42273475,3.42541975,103.74,271.6,0,,0,,0,0,4,7
70,16369652,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,4707949578,6.4227478,3.4249505,5588108883,6.4227404,3.4244943,6.4227441,3.4247224000000003,50.42,269.1,0,,0,,0,0,5,7
71,16369652,Ahmadu Bello Way,trunk,2,50,yes,asphalt,yes,5588108883,6.4227404,3.4244943,168577454,6.4227308,3.4239971,6.4227356,3.4242457,54.95,268.9,0,,1,31674712,0,1,6,7
72,93858642,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1090910163,6.4402163,3.4041342,1090910134,6.4412747,3.4026058,6.4407455,3.40337,205.84,304.9,0,,0,,1,1,0,1
73,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1090910120,6.4418215,3.4016016,5740709711,6.4419401,3.4013522,6.4418808,3.4014768999999996,30.55,295.6,0,,0,,1,0,0,16
74,93858656,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,5740709711,6.4419401,3.4013522,5740709713,6.4420427,3.4011644,6.4419914,3.4012583,23.68,298.8,0,,0,,0,0,1,16
