node_osm_id,lat,lon,has_signal,signal_osm_id
31674757,6.437477,3.4077264,0,
31674765,6.438041,3.4070949,0,
31674769,6.4380385,3.4072437,0,
31674770,6.4388759,3.4058898,0,
55130798,6.4373261,3.4077177,0,
1472506552,6.4378194,3.4073352,0,
1472506553,6.4379155,3.4073791,0,
1472506650,6.4375777,3.4075374,0,
5588599657,6.4381727,3.4069392,0,
5588599658,6.438218,3.4070371,0,
5588599660,6.4377382,3.4075373,0,
31674780,6.4421234,3.4004791,0,
35722423,6.4425212,3.4000894,0,
1029527211,6.4442735,3.3982565,0,
1090910148,6.4427527,3.3998622,0,
1090910189,6.4439497,3.398798,0,
1472172463,6.4422967,3.4002988,0,
1472172473,6.4435004,3.399004,0,
1472172475,6.442847,3.4002836,0,
1472172476,6.4416896,3.4010521,0,
1472172478,6.4433829,3.3996841,0,
1472203773,6.4434999,3.3995179,0,
2245287614,6.4419507,3.400678,0,
2245287631,6.4429322,3.3996807,0,
2245287649,6.443082,3.3995091,0,
2245287653,6.4430451,3.400077,0,
2245287655,6.4436014,3.3993481,0,
2245287657,6.4432203,3.3998836,0,
2245287684,6.4433781,3.399136,0,
2245287712,6.4415864,3.4012583,0,
2245287718,6.4437371,3.399127,0,
2245287727,6.4418086,3.4008582,0,
2245287734,6.4432963,3.3992323,0,
5392876277,6.4441496,3.3984956,0,
5740709712,6.4421426,3.4010048,0,
5740709713,6.4420427,3.4011644,0,
5740709714,6.4422586,3.4008613,0,
5740709715,6.4425078,3.4006011,0,
13036536534,6.4439374,3.398817,0,
31674771,6.4390005,3.4059204,0,
31674778,6.4414047,3.4017058,0,
31701839,6.4416481,3.4019643,0,
1090910116,6.440111,3.4040321,0,
1090910120,6.4418215,3.4016016,0,
1090910134,6.4412747,3.4026058,0,
1090910160,6.4417228,3.4018175,0,
1090910163,6.4402163,3.4041342,0,
1090910214,6.4411018,3.4023887,0,
1472172469,6.4414862,3.4014842,0,
1472172487,6.4416661,3.4019298,0,
1472172494,6.4418108,3.4016258,0,
1472172496,6.441171,3.4022744,0,
2245287638,6.4417522,3.4017508,0,
2245287646,6.4417738,3.4017025,0,
2245287689,6.4412545,3.402101,0,
2245287706,6.4413317,3.4019119,0,
2245287714,6.4416975,3.4018725,0,
2245287720,6.4414662,3.4022929,0,
2245287731,6.4415982,3.4020608,0,
2429766008,6.4413689,3.4018069,0,
4155392913,6.4398847,3.4046131,0,
5244204646,6.441284,3.4020286,0,
5588599661,6.4393334,3.4052293,0,
5588599662,6.4396866,3.4047197,0,
5740709711,6.4419401,3.4013522,0,
31674717,6.4223986,3.4116052,0,
31768446,6.422248,3.411832,0,
31768449,6.4221314,3.4120233,0,
31768452,6.4220571,3.4121935,0,
31768459,6.4220112,3.4123846,0,
31768464,6.4220039,3.4125182,0,
31768602,6.4220407,3.4129769,0,
31768605,6.4220221,3.412773,0,
31768608,6.4220067,3.4126427,0,
35722432,6.4254014,3.4095504,0,
35722433,6.4246737,3.4098337,0,
35722434,6.424149,3.4101015,0,
35722435,6.4230069,3.4108995,0,
36240972,6.4221003,3.4134295,0,
164462580,6.4221967,3.4120797,0,
164464802,6.4220883,3.4126197,0,
164468513,6.4237909,3.4104128,0,
164472759,6.4223288,3.411841,0,
164476479,6.4220874,3.4124887,0,
164485452,6.4246335,3.4099465,0,
168574117,6.4222031,3.4135872,0,
168576565,6.4226245,3.4114413,0,
168577757,6.4233041,3.4107614,0,
168579823,6.4254235,3.4096232,0,
168588861,6.4221407,3.4122178,0,
168590117,6.4220994,3.4123532,0,
1652204774,6.4225152,3.411448,0,
4019886799,6.4221194,3.4136037,0,
4707949584,6.4232215,3.4107117,0,
4707949585,6.4231056,3.4109317,0,
5196725568,6.4235841,3.4105487,0,
5196725569,6.423476,3.410634,0,
5588108878,6.424197,3.4101793,0,
5588108879,6.4224565,3.4116733,0,
5588108880,6.4228204,3.4112187,0,
5588108881,6.4221287,3.4130386,0,
5588108888,6.4227551,3.4111637,0,
5588108889,6.4237759,3.4103121,0,
5588108893,6.4234214,3.4105481,0,
5588419189,6.4238851,3.410248,0,
5588657960,6.4220062,3.4124769,0,
5622523770,6.4221951,3.4134396,0,
5622523781,6.4251925,3.4097086,0,
5622523782,6.4251645,3.4096416,0,
6959043879,6.422027,3.41227,0,
7917057639,6.4254643,3.4095281,0,
10170603386,6.4220078,3.412447,0,
12974264267,6.4233293,3.4107428,0,
12974264276,6.4231268,3.4109135,0,
12974264296,6.4245004,3.4100175,0,
13240035643,6.4224998,3.4116135,0,
13240035644,6.4224694,3.4115097,0,
31768613,6.4222486,3.4147994,0,
31768617,6.4222846,3.4152903,0,
35722436,6.4223749,3.4174198,0,
35722437,6.4224844,3.419896,0,
164466901,6.4223954,3.4155587,0,
164482990,6.4223407,3.4148082,0,
168574598,6.4225342,3.4191752,0,
168579736,6.4225854,3.4206506,0,
168581101,6.4224774,3.4177039,0,
1598717904,6.4224895,3.417896,0,
4707949582,6.4223979,3.4178974,0,
4707949583,6.422451,3.4189535,0,
5588108887,6.4223166,3.4159648,0,
6819802983,6.422551,3.4196582,0,
6819841994,6.4225366,3.4192437,0,
12634845245,6.4225882,3.4207285,0,
12634883333,6.4225737,3.4203127,0,
13057419867,6.4224619,3.4192597,0,
31674711,6.4248354,3.4240021,0,
31674712,6.4226451,3.4240005,1,31674712
31674715,6.4226093,3.427447,0,
36240966,6.4240904,3.42399,0,
95636982,6.4240864,3.4238974,0,
95637019,6.4226458,3.4239089,1,31674712
164470161,6.422708,3.4233695,0,
168577454,6.4227308,3.4239971,1,31674712
168581819,6.422731,3.4239055,1,31674712
168583238,6.4226822,3.4273318,0,
168585503,6.4226948,3.4273873,0,
168586633,6.4226801,3.4273032,0,
1289576526,6.4227217,3.425889,0,
1289576527,6.4256523,3.4239055,0,
4707949578,6.4227478,3.4249505,0,
4707949579,6.4226724,3.4249449,0,
4707949580,6.4226338,3.4233101,0,
4707949581,6.4225472,3.421686,0,
4708819230,6.424838,3.4239055,0,
5396711911,6.4226862,3.4273642,0,
5582802496,6.4256776,3.4239914,0,
5582802497,6.4235933,3.4239914,0,
5582802498,6.4234454,3.4239069,0,
5588108882,6.4226418,3.421977,0,
5588108883,6.4227404,3.4244943,0,
5588108884,6.4226372,3.425884,0,
5588108885,6.4226631,3.4251474,0,
5588108886,6.4226404,3.4237446,1,31674712
13302693632,6.4225802,3.4273017,0,
31674721,6.4322024,3.4088127,0,
35722425,6.4293078,3.4087993,0,
35722426,6.4286722,3.4088288,0,
35722427,6.4281983,3.4088624,0,
35722428,6.4276244,3.4089442,0,
35722429,6.4271716,3.40903,0,
35722430,6.4267851,3.4091212,0,
35722431,6.4260629,3.4093159,0,
35723965,6.4306905,3.4141704,0,
35723967,6.4305912,3.412309,0,
35723968,6.4303526,3.4115727,0,
35723970,6.4300919,3.4107575,0,
35723971,6.4300122,3.4100318,0,
164466378,6.4268092,3.4092055,0,
164481369,6.4272879,3.4090943,0,
168578645,6.4260862,3.4093924,0,
168584390,6.4309095,3.4088973,0,
168586209,6.4318116,3.4088855,0,
168586383,6.4282155,3.4089623,0,
168589702,6.4292993,3.4088996,0,
1480437199,6.4299202,3.4097522,0,
1480437212,6.4299502,3.4103818,0,
1480437222,6.4300156,3.4089,1,1480437222
1480437223,6.4302802,3.4115951,0,
1480437237,6.4310476,3.4087993,0,
1480437264,6.4299768,3.4105977,0,
1480437267,6.4300216,3.410257,0,
1480437277,6.4299169,3.4089006,1,1480437222
1480437288,6.4300104,3.4097523,0,
1480437289,6.4299249,3.409958,0,
1480437301,6.4311256,3.4087993,0,
1598718022,6.4278859,3.4089012,0,
1598718026,6.4278943,3.4090046,0,
1598718046,6.4305106,3.4120099,0,
1598718049,6.4306918,3.4133088,0,
1652204840,6.4271919,3.4091147,0,
2339926121,6.4305173,3.4123316,0,
2339926122,6.4306652,3.412767,0,
2339926125,6.4306172,3.4133171,0,
5202654610,6.4311229,3.4088959,0,
5246332225,6.4301603,3.4112719,0,
5246332226,6.4301521,3.4109967,0,
5246332227,6.4304311,3.4120186,0,
5246332228,6.4305632,3.4125598,0,
5246332229,6.4306312,3.4125423,0,
5246332230,6.4305864,3.4127792,0,
5582731533,6.4299342,3.4101914,0,
5582731534,6.4300221,3.410807,0,
5582731541,6.4305545,3.4121574,0,
5582731542,6.4302332,3.4112488,0,
5582731543,6.4300449,3.4104892,0,
5588108877,6.4286868,3.4089267,0,
5622523776,6.430015,3.4087987,1,1480437222
5673266186,6.4300798,3.4110244,0,
5902583248,6.4299162,3.4087993,1,1480437222
6811954043,6.4306183,3.4140873,0,
7116217627,6.4300095,3.4093585,0,
7736149344,6.4300209,3.4102413,0,
7736517658,6.4299212,3.4097963,0,
7736517661,6.429928,3.410037,0,
7739228541,6.4318458,3.4088083,0,
7739228544,6.4314999,3.408804,0,
7917057644,6.4265349,3.4091886,0,
7917057646,6.427355,3.4089953,0,
7920020886,6.4275879,3.4090499,0,
7920020888,6.4279969,3.4089911,0,
9515634813,6.4282618,3.4089588,0,
9532066821,6.426652,3.4091571,0,
9532066831,6.42709,3.4090492,0,
10175281248,6.4306911,3.4137855,0,
10603251472,6.4310443,3.4088945,0,
10603251481,6.4299169,3.40915,1,1480437222
11633851458,6.4299305,3.4100988,0,
12974389319,6.4306174,3.4134543,0,
13304609528,6.4318512,3.4088857,0,
35723960,6.4302193,3.4186926,0,
35723962,6.4305459,3.4173837,0,
35723963,6.4306639,3.4164825,0,
35723964,6.4306911,3.4151957,0,
36240960,6.4270623,3.4164839,0,
1235946200,6.4270694,3.4192519,0,
1598717989,6.4270679,3.4186524,0,
2339926117,6.4300082,3.4192137,0,
2339926118,6.4301407,3.418688,0,
2339926120,6.4304253,3.4176003,0,
2339926123,6.4306198,3.4151937,0,
2339926124,6.4305805,3.4166119,0,
2389029049,6.429723,3.4202772,0,
2389029050,6.4297996,3.4202946,0,
2389029051,6.4305912,3.4164825,0,
4742766612,6.4270644,3.4172952,0,
5246332232,6.4306085,3.4161298,0,
5246332233,6.4306901,3.4158276,0,
5246332234,6.430682,3.4161489,0,
5246332235,6.4306176,3.4157696,0,
5246332236,6.4306481,3.4166764,0,
5246332237,6.4304253,3.4179242,0,
5246332238,6.4300875,3.4192251,0,
5246332239,6.4295887,3.420756,0,
5582731535,6.4305339,3.4169633,0,
5582731536,6.4304686,3.4173764,0,
5582731539,6.4304999,3.417611,0,
5582731540,6.4305906,3.4171028,0,
5673268464,6.4270712,3.4199417,0,
6811954038,6.4306197,3.4151468,0,
7735981657,6.4305824,3.417155,0,
7736583587,6.4296641,3.4207818,0,
7736583595,6.4299662,3.4193688,0,
9515634412,6.4306196,3.4150904,0,
10181976499,6.4270735,3.4208378,0,
10803390085,6.4300883,3.418896,0,
10803390089,6.4300256,3.4191448,0,
31674720,6.4333098,3.408897,0,
31674726,6.4338056,3.4087752,0,
31674732,6.4341027,3.408841,0,
31674733,6.4346453,3.4087734,0,
31674739,6.4352829,3.4086404,0,
31674744,6.4346389,3.4086674,0,
31674751,6.434284,3.4087256,0,
31674763,6.4362923,3.4083273,0,
31674764,6.4362602,3.4082302,0,
55130802,6.4366595,3.4080666,0,
55130805,6.436948,3.4080389,0,
55130810,6.4352602,3.4085382,0,
164465711,6.4327639,3.4088906,0,
1472506608,6.4358232,3.4084922,0,
1472506629,6.4370318,3.4078861,0,
1472506636,6.4357899,3.4084016,0,
1480437275,6.4332992,3.4087986,0,
5588599656,6.435566,3.408566,0,
5588599659,6.4366068,3.4082052,0,
31674707,6.431298,3.4239794,1,5109667999
31674708,6.4291637,3.4239774,1,31674708
35723955,6.4292439,3.4232068,0,
35723956,6.4292645,3.4226536,0,
35723957,6.4293505,3.4220146,0,
36240962,6.427077,3.4221782,0,
36240967,6.4270816,3.4239759,1,36240967
95636900,6.4292447,3.423878,1,31674708
95636908,6.4270814,3.4238935,1,36240967
1235946207,6.429505,3.4213475,0,
1235946208,6.4270748,3.4213218,0,
1289576525,6.4280391,3.4239833,0,
2339926111,6.4291572,3.4232061,0,
2339926113,6.4291634,3.4238783,1,31674708
2339926114,6.4291946,3.4225664,0,
2339926115,6.4292679,3.4220012,0,
2339926116,6.4294311,3.4213232,0,
5108265559,6.4292106,3.4223974,0,
5108265560,6.4292965,3.4223425,0,
5109667999,6.4311413,3.423978,1,5109667999
5109668001,6.4311109,3.4238814,1,5109667999
5194461468,6.4289472,3.423978,1,31674708
5194461469,6.4290241,3.4239773,1,31674708
5582731537,6.4292352,3.4222077,0,
5582731538,6.4293218,3.4221882,0,
5582802499,6.4262827,3.4239015,0,
5582802500,6.4275567,3.4238921,0,
5582802501,6.428279,3.4238935,0,
5582802502,6.4306778,3.4238827,0,
5582802503,6.432345,3.4238908,0,
5622523777,6.4285815,3.4239726,0,
5902583245,6.4292452,3.4239777,1,31674708
5902583246,6.4291602,3.4229238,0,
5902583247,6.4292462,3.4229081,0,
7736524239,6.42922,3.4223253,0,
9409358994,6.426228,3.4239813,0,
9882740712,6.427078,3.4225631,0,
10175300416,6.4293421,3.4216928,0,
10175309582,6.4291706,3.42276,0,
10175321663,6.429264,3.4226602,0,
10836366411,6.4270795,3.4231558,0,
12632857523,6.4273948,3.4239783,0,
12632857527,6.4284683,3.4239748,0,
12632857532,6.4302933,3.4239776,0,
12632857535,6.4301001,3.4239775,0,
12632857536,6.4305682,3.4239777,0,
12632857541,6.4303766,3.4239776,0,
12634845248,6.4279938,3.4239829,0,
31700864,6.4380904,3.4247024,0,
31700878,6.4365436,3.4241192,0,
31700906,6.4367071,3.4242604,0,
31700918,6.436011,3.4240919,0,
31700930,6.4358681,3.4240627,0,
31701012,6.4356701,3.4240338,0,
31701040,6.4354837,3.424015,0,
31701066,6.4346277,3.423969,0,
95636325,6.4380673,3.4247843,0,
95636559,6.4361245,3.4240106,0,
95636597,6.4359952,3.423986,0,
95636672,6.4353093,3.4239097,0,
95636821,6.4345892,3.423876,0,
1472121865,6.4377083,3.4245364,0,
1472121874,6.437082,3.4242831,0,
1472121875,6.4370679,3.4243674,0,
