node_id,node_osm_id,lon,lat,road_name,is_signal,point_type
1,1090910116,3.4040321,6.440111,Ahmadu Bello Way,0,entry
2,5588599662,3.4047197,6.4396866,Ahmadu Bello Way,0,intersection
3,5588599661,3.4052293,6.4393334,Ahmadu Bello Way,0,intersection
4,31674770,3.4058898,6.4388759,Ahmadu Bello Way,0,intersection
5,5902583245,3.4239777,6.4292452,Adeola Odeku Street,1,entry
6,95636900,3.423878,6.4292447,Adeola Odeku Street,1,intersection
7,35723955,3.4232068,6.4292439,Adeola Odeku Street,0,intersection
8,5902583247,3.4229081,6.4292462,Adeola Odeku Street,0,intersection
9,10175321663,3.4226602,6.429264,Adeola Odeku Street,0,intersection
10,35723956,3.4226536,6.4292645,Adeola Odeku Street,0,intersection
11,5108265560,3.4223425,6.4292965,Adeola Odeku Street,0,intersection
12,5582731538,3.4221882,6.4293218,Adeola Odeku Street,0,intersection
13,35723957,3.4220146,6.4293505,Adeola Odeku Street,0,intersection
14,1235946207,3.4213475,6.429505,Adeola Odeku Street,0,intersection
15,7736583587,3.4207818,6.4296641,Adeola Odeku Street,0,intersection
16,2389029050,3.4202946,6.4297996,Adeola Odeku Street,0,intersection
17,5246332238,3.4192251,6.4300875,Adeola Odeku Street,0,intersection
18,35723960,3.4186926,6.4302193,Adeola Odeku Street,0,intersection
19,5246332237,3.4179242,6.4304253,Adeola Odeku Street,0,intersection
20,5582731539,3.417611,6.4304999,Adeola Odeku Street,0,intersection
21,35723962,3.4173837,6.4305459,Adeola Odeku Street,0,intersection
22,7735981657,3.417155,6.4305824,Adeola Odeku Street,0,intersection
23,5582731540,3.4171028,6.4305906,Adeola Odeku Street,0,intersection
24,5246332236,3.4166764,6.4306481,Adeola Odeku Street,0,intersection
25,35723963,3.4164825,6.4306639,Adeola Odeku Street,0,intersection
26,5246332234,3.4161489,6.430682,Adeola Odeku Street,0,intersection
27,5246332233,3.4158276,6.4306901,Adeola Odeku Street,0,intersection
28,35723964,3.4151957,6.4306911,Adeola Odeku Street,0,intersection
29,35723965,3.4141704,6.4306905,Adeola Odeku Street,0,intersection
30,10175281248,3.4137855,6.4306911,Adeola Odeku Street,0,intersection
31,1598718049,3.4133088,6.4306918,Adeola Odeku Street,0,intersection
32,2339926122,3.412767,6.4306652,Adeola Odeku Street,0,intersection
33,5246332229,3.4125423,6.4306312,Adeola Odeku Street,0,intersection
