episode,epsilon,reward,reward_ma
1,1.0,-157.95470309874855,
2,0.9997498749374687,-191.38658416225164,
3,0.9994997498749375,-180.6973021881222,
4,0.9992496248124062,-174.91417155831329,
5,0.9989994997498749,-176.68147082142906,
6,0.9987493746873437,-205.09903406455425,
7,0.9984992496248124,-129.69122280186286,
8,0.9982491245622811,-57.0119462171082,
9,0.9979989994997499,-204.24424060710203,
10,0.9977488744372186,-140.7070733272392,
11,0.9974987493746873,-169.44566163396217,
12,0.9972486243121561,-172.73959560017676,
13,0.9969984992496248,-159.2360539124815,
14,0.9967483741870935,-149.5424185875794,
15,0.9964982491245623,-291.02209214075526,
16,0.996248124062031,-286.8861129889833,
17,0.9959979989994997,-153.45640500921556,
18,0.9957478739369685,-223.0543980492286,
19,0.9954977488744372,-132.29615698806717,
20,0.9952476238119059,-189.46058345771002,
21,0.9949974987493747,-154.5855096391457,
22,0.9947473736868434,-176.13310397924144,
23,0.9944972486243121,-225.5057362105818,
24,0.9942471235617809,-231.2582204681562,
25,0.9939969984992496,-150.35744238003588,
26,0.9937468734367184,-183.57943695665702,
27,0.9934967483741871,-98.57521145486831,
28,0.9932466233116558,-152.45448374813074,
29,0.9929964982491246,-289.04985283785965,
30,0.9927463731865933,-171.7085593334363,
31,0.992496248124062,-128.66668946098278,
32,0.9922461230615308,-226.7661089982569,
33,0.9919959979989995,-115.51378174612971,
34,0.9917458729364682,-300.0,
35,0.991495747873937,-188.64015027928107,
36,0.9912456228114057,-175.7031119668922,
37,0.9909954977488744,-246.2901836475507,
38,0.9907453726863432,-177.39943498703548,
39,0.9904952476238119,-234.89353493683197,
40,0.9902451225612806,-243.44291222171788,
41,0.9899949974987494,-234.48391987400456,
42,0.9897448724362181,-204.8753290532862,
43,0.9894947473736868,-112.29813734349742,
44,0.9892446223111556,-194.3090712624233,
45,0.9889944972486243,-201.90232639069606,
46,0.988744372186093,-89.97626351756078,
47,0.9884942471235618,-194.66277990348945,
48,0.9882441220610305,-214.71230616093413,
49,0.9879939969984992,-262.16939212674777,
50,0.987743871935968,-214.33237079120866,
51,0.9874937468734367,-93.1975812283809,
52,0.9872436218109054,-276.34051535589316,
53,0.9869934967483742,-167.16061733964398,
54,0.9867433716858429,-263.69365860873967,
55,0.9864932466233116,-79.6067520271537,
56,0.9862431215607804,-184.66390749515145,
57,0.9859929964982491,-147.90257919511293,
58,0.9857428714357178,-290.1884941980177,
59,0.9854927463731866,-212.67390270780328,
60,0.9852426213106553,-231.6721447829907,
61,0.984992496248124,-91.81555419479747,
62,0.9847423711855928,-130.36064816280688,
63,0.9844922461230615,-165.81028003304232,
64,0.9842421210605302,-241.38161662169583,
65,0.983991995997999,-201.02381200452993,
66,0.9837418709354677,-102.18924384737208,
67,0.9834917458729364,-86.68878101091944,
68,0.9832416208104052,-118.73114211613414,
69,0.9829914957478739,-132.7681584899919,
70,0.9827413706853426,-71.04039877098305,
71,0.9824912456228114,-206.4290728808765,
72,0.9822411205602801,-197.38471358824157,
73,0.9819909954977488,-227.7454058613709,
74,0.9817408704352176,-163.36950320581383,
75,0.9814907453726863,-172.78699198827718,
76,0.9812406203101551,-179.48287027043966,
77,0.9809904952476238,-156.86832604847365,
78,0.9807403701850925,-138.32924894400392,
79,0.9804902451225613,-300.0,
80,0.98024012006003,-151.46795100141762,
81,0.9799899949974987,-147.06988699844652,
82,0.9797398699349675,-88.10773181389037,
83,0.9794897448724362,-180.2530530383926,
84,0.9792396198099049,-164.37510038369632,
85,0.9789894947473737,-247.44537480088226,
86,0.9787393696848424,-229.9384359136233,
87,0.9784892446223111,-168.89067296287544,
88,0.9782391195597799,-183.9018544228523,
89,0.9779889944972486,-224.59677203805282,
90,0.9777388694347173,-105.54690930589038,
91,0.9774887443721861,-222.1753671046116,
92,0.9772386193096548,-154.9939015187153,
93,0.9769884942471235,-236.95120700513445,
94,0.9767383691845923,-219.58289711865766,
95,0.976488244122061,-51.13594016376922,
96,0.9762381190595297,-212.93170821874213,
97,0.9759879939969985,-123.60703404842391,
98,0.9757378689344672,-130.5915438918828,
99,0.9754877438719359,-280.9808658458783,
100,0.9752376188094047,-166.11229714835503,-180.6173501461438
101,0.9749874937468734,-214.508474188718,-181.1828878570435
102,0.9747373686843421,-202.84231406643323,-181.2974451560853
103,0.9744872436218109,-244.537039757787,-181.93584253178196
104,0.9742371185592796,-106.77937658788541,-181.25449458207768
105,0.9739869934967483,-233.85567951151023,-181.82623666897845
106,0.9737368684342171,-107.85123098733528,-180.8537586382063
107,0.9734867433716858,-238.7502253106023,-181.9443486632937
108,0.9732366183091545,-169.3983770315768,-183.06821297143836
109,0.9729864932466233,-159.64985934617914,-182.62226915882914
110,0.972736368184092,-123.49748451846969,-182.45017327074146
111,0.9724862431215607,-204.58641527679742,-182.8015808071698
112,0.9722361180590295,-222.79039426339727,-183.302088793802
113,0.9719859929964982,-235.01128455808308,-184.059841100258
114,0.9717358679339669,-66.69268260773602,-183.2313437404596
115,0.9714857428714357,-238.16048063121775,-182.70272762536422
116,0.9712356178089044,-155.7341813198971,-181.39120830867338
117,0.9709854927463731,-209.14759750277628,-181.94812023360896
118,0.9707353676838419,-254.48879446920103,-182.2624641978087
119,0.9704852426213106,-112.79545026341958,-182.06745713056222
120,0.9702351175587793,-200.37112935978587,-182.17656258958297
121,0.9699849924962481,-115.54104996241742,-181.78611799281566
122,0.9697348674337168,-200.53914583644533,-182.0301784113877
123,0.9694847423711856,-42.95475900316768,-180.2046686393136
124,0.9692346173086543,-250.77193576965476,-180.39980579232858
125,0.968984492246123,-122.49954933023517,-180.12122686183054
126,0.9687343671835918,-164.16398957875398,-179.92707238805156
127,0.9684842421210605,-300.0,-181.94132027350287
128,0.9682341170585292,-180.75611263157637,-182.2243365623373
129,0.967983991995998,-222.61273469588974,-181.5599653809176
130,0.9677338669334667,-228.75858495859737,-182.1304656371692
131,0.9674837418709354,-163.0796280850407,-182.47459502340982
132,0.9672336168084043,-156.19075316804637,-181.7688414651077
133,0.966983491745873,-99.97321648828498,-181.61343581252925
134,0.9667333666833416,-84.19090417243933,-179.45534485425364
135,0.9664832416208105,-105.52103992379759,-178.62415375069878
136,0.9662331165582791,-253.9447033315456,-179.40656966434534
137,0.9659829914957478,-228.6585748096633,-179.23025357596646
138,0.9657328664332167,-175.96000903602607,-179.21585931645637
139,0.9654827413706853,-199.57461367788784,-178.86267010386692
140,0.965232616308154,-214.0413167375419,-178.56865414902518
141,0.9649824912456229,-203.1244297420282,-178.25505924770542
142,0.9647323661830915,-173.07962274943472,-177.93710218466688
143,0.9644822411205602,-131.3208238338373,-178.12732904957028
144,0.964232116058029,-250.05522337785789,-178.68479057072463
145,0.9639819909954978,-160.01821960613324,-178.265949502879
146,0.9637318659329664,-269.5532605172119,-180.0617194728755
147,0.9634817408704353,-82.11678845135476,-178.93625955835418
148,0.963231615807904,-199.54927357390756,-178.7846292324839
149,0.9629814907453726,-188.56359654078753,-178.04857127662433
150,0.9627313656828415,-204.2335834898318,-177.94758340361057
151,0.9624812406203102,-163.5273170193934,-178.65088076152063
152,0.9622311155577788,-243.30161712042323,-178.32049177916596
153,0.9619809904952477,-167.51610727555212,-178.32404667852504
154,0.9617308654327164,-176.9721983916446,-177.4568320763541
155,0.961480740370185,-239.50063811695617,-179.05577093725208
156,0.9612306153076539,-228.91162891841458,-179.49824815148477
157,0.9609804902451226,-131.53639361361243,-179.33458629566974
158,0.9607303651825913,-205.44494790614635,-178.48715083275104
159,0.9604802401200601,-201.99273386367804,-178.38033914430977
160,0.9602301150575288,-279.77777786075444,-178.86139547508742
161,0.9599799899949975,-116.23848784154983,-179.10562481155495
162,0.9597298649324663,-234.5358838291492,-180.14737716821833
163,0.959479739869935,-112.40874697485918,-179.61336183763652
164,0.9592296148074038,-236.63471561789999,-179.56589282759853
165,0.9589794897448725,-207.1913579722708,-179.62756828727598
