u,v,name_clean,highway,length,oneway,lanes_manual,Rx_manual,maxspeed_manual_kmh,has_signal_end,u_lat,u_lon,v_lat,v_lon
5953981517,877155456,Boulevard de l’Europe,trunk,24.33,True,2,,50,0,6.3777975,2.3814717,6.3777064,2.3816719
877155456,7770591682,Boulevard de l’Europe,trunk,30.3,True,2,,50,0,6.3777064,2.3816719,6.3776083,2.3819277
7770591682,5848768717,Boulevard de l’Europe,trunk,20.74,True,2,,50,0,6.3776083,2.3819277,6.3775589,2.3821087
5848768717,7770591681,Boulevard de l’Europe,trunk,24.29,True,2,,50,0,6.3775589,2.3821087,6.3775177,2.3823246
7770591681,5848768714,Boulevard de l’Europe,trunk,22.93,True,2,,50,0,6.3775177,2.3823246,6.377487,2.3825298
5848768714,4813798547,Boulevard de l’Europe,trunk,26.64,True,2,,50,0,6.377487,2.3825298,6.3774615,2.3827695
4813798547,7770591678,Boulevard de l’Europe,trunk,29.8,True,2,,50,0,6.3774615,2.3827695,6.3774377,2.3830381
7770591678,3704769525,Boulevard de l’Europe,trunk,204.58,True,2,,50,0,6.3774377,2.3830381,6.3773346,2.3848865
3704769525,3268771990,Boulevard de l’Europe,trunk,210.59,True,2,,50,0,6.3773346,2.3848865,6.3772183,2.3867886
3268771990,7623570507,Boulevard de l’Europe,trunk,128.0,True,2,,50,0,6.3772183,2.3867886,6.3771565,2.3879452
7623570507,5848768692,Boulevard de l’Europe,trunk,34.36,True,2,,50,0,6.3771565,2.3879452,6.3771298,2.388255
5848768692,3634748205,Boulevard de l’Europe,trunk,78.69,True,2,,50,0,6.3771298,2.388255,6.3770732,2.3889648
3634748205,5848990354,Boulevard de l’Europe,trunk,18.55,True,2,,50,0,6.3770732,2.3889648,6.3770592,2.3891321
5848990354,7623570506,Boulevard de l’Europe,trunk,13.23,True,2,,50,0,6.3770592,2.3891321,6.3770392,2.3892501
7623570506,7623570505,Boulevard de l’Europe,trunk,10.65,True,2,,50,0,6.3770392,2.3892501,6.3770178,2.389344
7623570505,7623570504,Boulevard de l’Europe,trunk,12.61,True,2,,50,0,6.3770178,2.389344,6.3769872,2.3894539
7623570504,356270175,Boulevard de l’Europe,trunk,15.34,True,2,,50,0,6.3769872,2.3894539,6.376943,2.3895854
5953981511,2772189234,Unknown,trunk,33.77,True,2,,50,0,6.3721504,2.4090864,6.3723427,2.4088499
2772189234,2772189236,Unknown,trunk,66.45,True,2,,50,0,6.3723427,2.4088499,6.3727357,2.4083969
2772189236,1531575210,Unknown,trunk,55.24,True,2,,50,0,6.3727357,2.4083969,6.3730676,2.408025
1531575210,2772189239,Unknown,trunk,71.13,True,2,,50,0,6.3730676,2.408025,6.3735006,2.4075512
2772189239,2772189241,Unknown,trunk,64.63,True,2,,50,0,6.3735006,2.4075512,6.3738646,2.4070953
2772189241,2772189245,Unknown,trunk,73.39,True,2,,50,0,6.3738646,2.4070953,6.374282,2.4065808
2772189245,2772189247,Unknown,trunk,60.82,True,2,,50,0,6.374282,2.4065808,6.3746346,2.40616
2772189247,2772189250,Unknown,trunk,67.0,True,2,,50,0,6.3746346,2.40616,6.3749932,2.4056728
2772189250,1569336272,Unknown,trunk,81.87,True,2,,50,1,6.3749932,2.4056728,6.3753796,2.4050422
1569336272,4618263328,Unknown,trunk,15.96,True,2,,50,0,6.3753796,2.4050422,6.3754531,2.4049182
4618263328,2772106479,Unknown,trunk,79.49,True,2,,50,0,6.3754531,2.4049182,6.3757567,2.404267
2772106479,7698549942,Unknown,trunk,14.86,True,2,,50,0,6.3757567,2.404267,6.3758143,2.4041457
7698549942,7698549943,Unknown,trunk,19.18,True,2,,50,0,6.3758143,2.4041457,6.3758823,2.4039862
7698549943,4618263327,Unknown,trunk,21.49,True,2,,50,0,6.3758823,2.4039862,6.3759545,2.4038058
4618263327,7624815316,Unknown,trunk,27.94,True,2,,50,0,6.3759545,2.4038058,6.3760462,2.4035704
7624815316,1531575223,Unknown,trunk,33.09,True,2,,50,0,6.3760462,2.4035704,6.3761381,2.4032856
1531575223,2772118156,Unknown,trunk,34.14,True,2,,50,0,6.3761381,2.4032856,6.3762309,2.4029911
2772118156,7624815324,Unknown,trunk,28.38,True,2,,50,0,6.3762309,2.4029911,6.3762915,2.4027416
7624815324,4618263330,Unknown,trunk,27.8,True,2,,50,0,6.3762915,2.4027416,6.37635,2.402497
4618263330,7624815325,Unknown,trunk,27.1,True,2,,50,0,6.37635,2.402497,6.3763954,2.4022561
7624815325,1531575235,Unknown,trunk,32.86,True,2,,50,0,6.3763954,2.4022561,6.3764393,2.401962
1531575235,4618263331,Unknown,trunk,33.38,True,2,,50,0,6.3764393,2.401962,6.3764778,2.4016624
4618263331,4618263332,Unknown,trunk,28.48,True,2,,50,0,6.3764778,2.4016624,6.3765037,2.401406
4618263332,7624815326,Unknown,trunk,25.04,True,2,,50,0,6.3765037,2.401406,6.376526,2.4011805
7624815326,2772106489,Unknown,trunk,47.07,True,2,,50,0,6.376526,2.4011805,6.3765448,2.400755
2772106489,2772119312,Unknown,trunk,100.82,True,2,,50,0,6.3765448,2.400755,6.3766004,2.3998444
2772119312,2772119313,Unknown,trunk,99.32,True,2,,50,0,6.3766004,2.3998444,6.376659,2.3989476
2772119313,2772119314,Unknown,trunk,97.84,True,2,,50,0,6.376659,2.3989476,6.376714,2.398064
2772119314,2772038748,Unknown,trunk,99.83,True,2,,50,0,6.376714,2.398064,6.3767673,2.3971622
2772038748,1531575242,Unknown,trunk,142.82,True,2,,50,0,6.3767673,2.3971622,6.3768204,2.3958709
1531575242,2481870009,Unknown,trunk,16.46,True,2,,50,0,6.3768204,2.3958709,6.376835,2.3957227
2481870009,2499506944,Unknown,trunk,388.96,True,2,,50,0,6.376835,2.3957227,6.3770329,2.3922086
2499506944,5848990347,Unknown,trunk,209.85,True,2,,50,0,6.3770329,2.3922086,6.3771456,2.390313
7695913821,2488243394,Unknown,trunk_link,19.14,True,2,,50,0,6.3836605,2.3778346,6.3835121,2.3779224
877155455,7695913849,Unknown,trunk_link,17.78,True,2,,50,0,6.3832665,2.3781738,6.3831847,2.378312
1531017619,2782992575,Avenue du Renouveau,secondary,16.81,False,2,,50,0,6.3860148,2.3840747,6.3861295,2.3841738
2782992575,2505169987,Avenue du Renouveau,secondary,13.04,False,2,,50,1,6.3861295,2.3841738,6.3862209,2.3842478
2505169987,2782982217,Avenue du Renouveau,secondary,75.28,False,2,,50,0,6.3862209,2.3842478,6.3867661,2.3846517
2782982217,2782982218,Avenue du Renouveau,secondary,59.46,False,2,,50,0,6.3867661,2.3846517,6.3871808,2.3849914
