segment_id,osm_way_id,road_name,highway_type,lanes,maxspeed_kmh,surface,oneway,u_osm_id,u_lat,u_lon,v_osm_id,v_lat,v_lon,length_m,bearing_deg,center_lat,center_lon,has_signal_start,has_signal_end,segment_index,way_total_segments,geometry_wkt
21,31760318,Rue 12.191,primary,2,50,asphalt,yes,7807061004,6.3723144,2.3924848,355517417,6.372142,2.3926621,27.41,134.4,6.3722282,2.39257345,0,0,23,34,"LINESTRING(2.3924848 6.3723144, 2.3926621 6.372142)"
22,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517417,6.372142,2.3926621,355517389,6.372019,2.3928182,22.01,128.4,6.3720805,2.39274015,0,0,24,34,"LINESTRING(2.3926621 6.372142, 2.3928182 6.372019)"
23,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517389,6.372019,2.3928182,355517316,6.3718338,2.3930723,34.82,126.3,6.3719263999999995,2.39294525,0,0,25,34,"LINESTRING(2.3928182 6.372019, 2.3930723 6.3718338)"
24,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517316,6.3718338,2.3930723,355517294,6.3716601,2.3932314,26.12,137.7,6.37174695,2.3931518499999997,0,0,26,34,"LINESTRING(2.3930723 6.3718338, 2.3932314 6.3716601)"
25,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517294,6.3716601,2.3932314,355517277,6.3715667,2.3932925,12.39,147.0,6.371613399999999,2.39326195,0,0,27,34,"LINESTRING(2.3932314 6.3716601, 2.3932925 6.3715667)"
26,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517277,6.3715667,2.3932925,5892828002,6.3713572,2.3934012,26.21,152.7,6.3714619500000005,2.39334685,0,0,28,34,"LINESTRING(2.3932925 6.3715667, 2.3934012 6.3713572)"
27,31760318,Rue 12.191,primary,2,50,asphalt,yes,5892828002,6.3713572,2.3934012,355517251,6.3710996,2.3934793,29.92,163.2,6.3712284,2.3934402500000003,0,0,29,34,"LINESTRING(2.3934012 6.3713572, 2.3934793 6.3710996)"
28,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517251,6.3710996,2.3934793,355517193,6.3707924,2.3935476,34.98,167.5,6.370946,2.3935134500000004,0,0,30,34,"LINESTRING(2.3934793 6.3710996, 2.3935476 6.3707924)"
29,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517193,6.3707924,2.3935476,356271587,6.3705334,2.3936088,29.58,166.8,6.3706629,2.3935782000000003,0,0,31,34,"LINESTRING(2.3935476 6.3707924, 2.3936088 6.3705334)"
30,31760318,Rue 12.191,primary,2,50,asphalt,yes,356271587,6.3705334,2.3936088,5953981508,6.3696867,2.3938226,97.07,165.9,6.37011005,2.3937157,0,0,32,34,"LINESTRING(2.3936088 6.3705334, 2.3938226 6.3696867)"
31,31760318,Rue 12.191,primary,2,50,asphalt,yes,5953981508,6.3696867,2.3938226,355517169,6.3695771,2.3938534,12.65,164.4,6.3696319,2.3938379999999997,0,0,33,34,"LINESTRING(2.3938226 6.3696867, 2.3938534 6.3695771)"
32,31760372,Unknown,trunk,2,50,asphalt,yes,355516681,6.3769809,2.3899358,5892828018,6.3770071,2.3900841,16.65,79.9,6.376994,2.39000995,0,0,0,38,"LINESTRING(2.3899358 6.3769809, 2.3900841 6.3770071)"
33,31760372,Unknown,trunk,2,50,asphalt,yes,5892828018,6.3770071,2.3900841,5851171561,6.3770159,2.3901958,12.38,85.5,6.3770115,2.39013995,0,0,1,38,"LINESTRING(2.3900841 6.3770071, 2.3901958 6.3770159)"
34,31760372,Unknown,trunk,2,50,asphalt,yes,5851171561,6.3770159,2.3901958,5848990346,6.3770145,2.390296,11.07,90.8,6.3770152,2.3902459,0,0,2,38,"LINESTRING(2.3901958 6.3770159, 2.390296 6.3770145)"
35,31760372,Unknown,trunk,2,50,asphalt,yes,5848990346,6.3770145,2.390296,2783260145,6.3769436,2.3913154,112.93,94.0,6.376979049999999,2.3908057,0,0,3,38,"LINESTRING(2.390296 6.3770145, 2.3913154 6.3769436)"
36,31760372,Unknown,trunk,2,50,asphalt,yes,2783260145,6.3769436,2.3913154,2488243361,6.3768492,2.3930199,188.65,93.2,6.3768964,2.39216765,0,0,4,38,"LINESTRING(2.3913154 6.3769436, 2.3930199 6.3768492)"
37,31760372,Unknown,trunk,2,50,asphalt,yes,2488243361,6.3768492,2.3930199,2783251398,6.3767351,2.3951964,240.85,93.0,6.37679215,2.39410815,0,0,5,38,"LINESTRING(2.3930199 6.3768492, 2.3951964 6.3767351)"
38,31760372,Unknown,trunk,2,50,asphalt,yes,2783251398,6.3767351,2.3951964,2783251397,6.3766903,2.3958794,75.64,93.8,6.376712700000001,2.3955379,0,0,6,38,"LINESTRING(2.3951964 6.3767351, 2.3958794 6.3766903)"
39,31760372,Unknown,trunk,2,50,asphalt,yes,2783251397,6.3766903,2.3958794,2783251396,6.3766727,2.3961796,33.23,93.4,6.3766815,2.3960295,0,0,7,38,"LINESTRING(2.3958794 6.3766903, 2.3961796 6.3766727)"
40,31760372,Unknown,trunk,2,50,asphalt,yes,2783251396,6.3766727,2.3961796,2783251393,6.3764914,2.3995203,369.72,93.1,6.37658205,2.39784995,0,0,8,38,"LINESTRING(2.3961796 6.3766727, 2.3995203 6.3764914)"
41,31760372,Unknown,trunk,2,50,asphalt,yes,2783251393,6.3764914,2.3995203,1102477660,6.376389,2.4013185,199.04,93.3,6.376440199999999,2.4004193999999996,0,0,9,38,"LINESTRING(2.3995203 6.3764914, 2.4013185 6.376389)"
42,31760372,Unknown,trunk,2,50,asphalt,yes,1102477660,6.376389,2.4013185,5892749374,6.3763465,2.4017316,45.89,95.9,6.37636775,2.40152505,0,0,10,38,"LINESTRING(2.4013185 6.376389, 2.4017316 6.3763465)"
43,31760372,Unknown,trunk,2,50,asphalt,yes,5892749374,6.3763465,2.4017316,1102389821,6.376297,2.4020612,36.84,98.6,6.376321750000001,2.4018964,0,0,11,38,"LINESTRING(2.4017316 6.3763465, 2.4020612 6.376297)"
44,31760372,Unknown,trunk,2,50,asphalt,yes,1102389821,6.376297,2.4020612,5892749375,6.3762527,2.4022723,23.84,101.9,6.37627485,2.40216675,0,0,12,38,"LINESTRING(2.4020612 6.376297, 2.4022723 6.3762527)"
45,31760372,Unknown,trunk,2,50,asphalt,yes,5892749375,6.3762527,2.4022723,5892749373,6.3762051,2.4024931,24.97,102.2,6.3762289,2.4023827,0,0,13,38,"LINESTRING(2.4022723 6.3762527, 2.4024931 6.3762051)"
46,31760372,Unknown,trunk,2,50,asphalt,yes,5892749373,6.3762051,2.4024931,4618263329,6.3761502,2.4027255,26.4,103.4,6.37617765,2.4026093,0,0,14,38,"LINESTRING(2.4024931 6.3762051, 2.4027255 6.3761502)"
47,31760372,Unknown,trunk,2,50,asphalt,yes,4618263329,6.3761502,2.4027255,1102389892,6.3760921,2.4029515,25.8,104.5,6.3761211499999995,2.4028384999999997,0,0,15,38,"LINESTRING(2.4027255 6.3761502, 2.4029515 6.3760921)"
48,31760372,Unknown,trunk,2,50,asphalt,yes,1102389892,6.3760921,2.4029515,5891430907,6.3760202,2.4032009,28.7,106.2,6.37605615,2.4030762,0,0,16,38,"LINESTRING(2.4029515 6.3760921, 2.4032009 6.3760202)"
49,31760372,Unknown,trunk,2,50,asphalt,yes,5891430907,6.3760202,2.4032009,5074451598,6.3759323,2.4034879,33.19,107.1,6.37597625,2.4033444,0,0,17,38,"LINESTRING(2.4032009 6.3760202, 2.4034879 6.3759323)"
50,31760372,Unknown,trunk,2,50,asphalt,yes,5074451598,6.3759323,2.4034879,7624815319,6.3758463,2.4037474,30.23,108.4,6.3758893,2.40361765,0,0,18,38,"LINESTRING(2.4034879 6.3759323, 2.4037474 6.3758463)"
51,31760372,Unknown,trunk,2,50,asphalt,yes,7624815319,6.3758463,2.4037474,5892749376,6.3757685,2.4039509,24.09,111.0,6.3758074,2.40384915,0,0,19,38,"LINESTRING(2.4037474 6.3758463, 2.4039509 6.3757685)"
52,31760372,Unknown,trunk,2,50,asphalt,yes,5892749376,6.3757685,2.4039509,7624815318,6.3756757,2.4041766,26.99,112.5,6.375722100000001,2.4040637499999997,0,0,20,38,"LINESTRING(2.4039509 6.3757685, 2.4041766 6.3756757)"
53,31760372,Unknown,trunk,2,50,asphalt,yes,7624815318,6.3756757,2.4041766,7624815317,6.3755824,2.4043858,25.34,114.2,6.375629050000001,2.4042812,0,0,21,38,"LINESTRING(2.4041766 6.3756757, 2.4043858 6.3755824)"
54,31760372,Unknown,trunk,2,50,asphalt,yes,7624815317,6.3755824,2.4043858,4452035836,6.3753717,2.4047992,51.34,117.2,6.37547705,2.4045924999999997,0,0,22,38,"LINESTRING(2.4043858 6.3755824, 2.4047992 6.3753717)"
55,31760372,Unknown,trunk,2,50,asphalt,yes,4452035836,6.3753717,2.4047992,2783251371,6.3752976,2.4049191,15.6,121.9,6.375334649999999,2.40485915,0,0,23,38,"LINESTRING(2.4047992 6.3753717, 2.4049191 6.3752976)"
56,31760372,Unknown,trunk,2,50,asphalt,yes,2783251371,6.3752976,2.4049191,2770126974,6.3749488,2.4054923,74.27,121.5,6.3751232,2.4052057,0,0,24,38,"LINESTRING(2.4049191 6.3752976, 2.4054923 6.3749488)"
57,31760372,Unknown,trunk,2,50,asphalt,yes,2770126974,6.3749488,2.4054923,2770126973,6.374576,2.406004,70.11,126.2,6.3747624,2.40574815,0,0,25,38,"LINESTRING(2.4054923 6.3749488, 2.406004 6.374576)"
58,31760372,Unknown,trunk,2,50,asphalt,yes,2770126973,6.374576,2.406004,2770126971,6.3742102,2.4064568,64.48,129.1,6.374393100000001,2.4062304,0,0,26,38,"LINESTRING(2.406004 6.374576, 2.4064568 6.3742102)"
59,31760372,Unknown,trunk,2,50,asphalt,yes,2770126971,6.3742102,2.4064568,2770126968,6.3738197,2.4069271,67.72,129.9,6.37401495,2.40669195,0,0,27,38,"LINESTRING(2.4064568 6.3742102, 2.4069271 6.3738197)"
60,31760372,Unknown,trunk,2,50,asphalt,yes,2770126968,6.3738197,2.4069271,1531575212,6.3734348,2.4073774,65.64,130.7,6.37362725,2.40715225,0,0,28,38,"LINESTRING(2.4069271 6.3738197, 2.4073774 6.3734348)"
61,31760372,Unknown,trunk,2,50,asphalt,yes,1531575212,6.3734348,2.4073774,2770084321,6.3730482,2.4078181,64.96,131.4,6.373241500000001,2.40759775,0,0,29,38,"LINESTRING(2.4073774 6.3734348, 2.4078181 6.3730482)"
62,31760372,Unknown,trunk,2,50,asphalt,yes,2770084321,6.3730482,2.4078181,2770084320,6.3726553,2.4082914,68.15,129.9,6.372851750000001,2.40805475,0,0,30,38,"LINESTRING(2.4078181 6.3730482, 2.4082914 6.3726553)"
